Source,Target,Type,Id,Label,Weight
2180,472,Undirected,7449,0,1
2180,661,Undirected,7450,0,1
2180,2145,Undirected,7451,0,1
2183,1,Undirected,7464,0,1
2183,475,Undirected,7465,0,1
2183,661,Undirected,7466,0,1
2183,1413,Undirected,7467,0,1
2183,1792,Undirected,7468,0,1
2183,2145,Undirected,7469,0,1
2186,1,Undirected,7481,0,2
2186,475,Undirected,7482,0,1
2186,661,Undirected,7483,0,2
2186,1410,Undirected,7484,0,1
2186,1413,Undirected,7485,0,1
2186,1792,Undirected,7486,0,1
2186,2145,Undirected,7487,0,2
2186,2183,Undirected,7488,0,1
2187,267,Undirected,7490,0,1
2187,488,Undirected,7491,0,1
2187,1418,Undirected,7492,0,1
2187,1423,Undirected,7493,0,1
2188,392,Undirected,7495,0,6
2188,485,Undirected,7496,0,6
2188,488,Undirected,7497,0,7
2188,1362,Undirected,7498,0,7
2188,1423,Undirected,7499,0,7
2190,1,Undirected,7506,0,2
2190,79,Undirected,7507,0,3
2190,172,Undirected,7508,0,2
2190,174,Undirected,7509,0,2
2190,255,Undirected,7510,0,2
2190,267,Undirected,7511,0,3
2190,391,Undirected,7512,0,3
2190,392,Undirected,7513,0,1
2190,482,Undirected,7514,0,1
2190,488,Undirected,7515,0,3
2190,489,Undirected,7516,0,1
2190,534,Undirected,7517,0,1
2190,574,Undirected,7518,0,1
2190,1171,Undirected,7519,0,2
2190,1264,Undirected,7520,0,1
2190,1284,Undirected,7521,0,2
2190,1337,Undirected,7522,0,3
2190,1345,Undirected,7523,0,1
2190,1423,Undirected,7524,0,10
2190,1424,Undirected,7525,0,1
2190,1467,Undirected,7526,0,1
2190,2122,Undirected,7527,0,1
2190,2127,Undirected,7528,0,2
2191,58,Undirected,7530,0,2
2191,79,Undirected,7531,0,2
2191,486,Undirected,7532,0,2
2191,488,Undirected,7533,0,2
2191,1264,Undirected,7534,0,2
2191,1312,Undirected,7535,0,2
2192,45,Undirected,7537,0,2
2192,58,Undirected,7538,0,6
2192,79,Undirected,7539,0,6
2192,486,Undirected,7540,0,6
2192,488,Undirected,7541,0,6
2192,1264,Undirected,7542,0,6
2192,1312,Undirected,7543,0,2
2192,2191,Undirected,7544,0,2
2193,45,Undirected,7546,0,1
2193,58,Undirected,7547,0,2
2193,79,Undirected,7548,0,1
2193,488,Undirected,7549,0,3
2193,1420,Undirected,7550,0,2
2193,1437,Undirected,7551,0,2
2193,1513,Undirected,7552,0,3
2193,2122,Undirected,7553,0,2
2194,45,Undirected,7555,0,3
2194,58,Undirected,7556,0,1
2194,79,Undirected,7557,0,2
2194,273,Undirected,7558,0,1
2194,488,Undirected,7559,0,3
2194,1264,Undirected,7560,0,1
2194,1323,Undirected,7561,0,1
2195,1,Undirected,7563,0,1
2195,45,Undirected,7564,0,5
2195,51,Undirected,7565,0,1
2195,58,Undirected,7566,0,3
2195,79,Undirected,7567,0,5
2195,121,Undirected,7568,0,2
2195,273,Undirected,7569,0,1
2195,380,Undirected,7570,0,1
2195,488,Undirected,7571,0,9
2195,495,Undirected,7572,0,1
2195,497,Undirected,7573,0,1
2195,498,Undirected,7574,0,1
2195,502,Undirected,7575,0,1
2195,504,Undirected,7576,0,4
2195,512,Undirected,7577,0,1
2195,521,Undirected,7578,0,1
2195,534,Undirected,7579,0,1
2195,549,Undirected,7580,0,1
2195,1135,Undirected,7581,0,1
2195,1312,Undirected,7582,0,1
2195,1420,Undirected,7583,0,2
2195,1423,Undirected,7584,0,4
2195,1431,Undirected,7585,0,1
2195,1434,Undirected,7586,0,1
2195,1437,Undirected,7587,0,12
2195,1446,Undirected,7588,0,1
2195,1447,Undirected,7589,0,1
2195,1480,Undirected,7590,0,1
2195,1513,Undirected,7591,0,6
2195,1896,Undirected,7592,0,1
2195,2122,Undirected,7593,0,4
2195,2193,Undirected,7594,0,2
