Id,Label,name,ave_view,ave_comment,ave_mylist,ave_starttime,end,ave_length,Points,training,modify_probability,Time Interval,Modularity Class
1423,1423,東方,16382.69945,445.5519126,197.8469945,2011/5/24 0:00,2015/10/20 0:00,448.9781421,19784.29674,0,0.511249832,"<[1.3061628E12, 1.4452668E12]>",15
4887,4887,静岡?,2065.0,59.75,20.0,2012/8/15 0:00,2015/10/20 0:00,457.5,2423.085441,0,0.008733937,"<[1.3449564E12, 1.4452668E12]>",17
844,844,め?くり旁E?,6566.883929,210.1339286,52.14285714,2012/11/9 0:00,2015/10/20 0:00,583.0089286,7552.694874,0,0.239734505,"<[1.3523868E12, 1.4452668E12]>",17
3934,3934,自然,11545.36364,282.2727273,69.54545455,2011/1/18 0:00,2015/10/20 0:00,535.7727273,12864.12098,0,0.511249842,"<[1.2952764E12, 1.4452668E12]>",14
44,44,ニコニコ国?E???,11718.13793,409.3103448,117.862069,2012/7/1 0:00,2015/10/20 0:00,756.137931,13881.69775,0,0.077392936,"<[1.3410684E12, 1.4452668E12]>",17
5336,5336,わるゐこの方の有?,16048.0,259.0,21.0,2012/4/13 0:00,2015/10/20 0:00,599.0,16617.89166,0,0.077869612,"<[1.3342428E12, 1.4452668E12]>",17
2114,2114,怪?,6877.014085,230.1408451,20.91549296,2012/7/29 0:00,2015/10/20 0:00,405.4507042,7413.456869,0,0.511249832,"<[1.3434876E12, 1.4452668E12]>",17
5126,5126,衛星,60889.61538,711.4615385,253.3846154,2011/2/14 0:00,2015/10/20 0:00,198.6923077,65393.66279,0,0.706250003,"<[1.2976092E12, 1.4452668E12]>",14
285,285,こうもり序曲,53081.0,448.0,140.0,2011/2/17 0:00,2015/10/20 0:00,190.0,55625.26034,0,0.484415732,"<[1.2978684E12, 1.4452668E12]>",14
3976,3976,外れレア,54602.0,406.0,132.0,2011/2/14 0:00,2015/10/20 0:00,121.0,56985.01059,0,0.643441542,"<[1.2976092E12, 1.4452668E12]>",14
145,145,?_が俺はレア?_?,54602.0,406.0,132.0,2011/2/14 0:00,2015/10/20 0:00,121.0,56985.01059,0,0.643441542,"<[1.2976092E12, 1.4452668E12]>",14
1961,1961,ヂ?スター,120840.0,3124.0,1090.0,2011/1/6 0:00,2015/10/20 0:00,496.0,140235.9587,1,0.0,"<[1.2942396E12, 1.4452668E12]>",14
1146,1146,これがやりたかっただけだろシリーズ,120840.0,3124.0,1090.0,2011/1/6 0:00,2015/10/20 0:00,496.0,140235.9587,1,0.0,"<[1.2942396E12, 1.4452668E12]>",14
5732,5732,準惑?,55937.5,545.0,191.0,2011/3/9 0:00,2015/10/20 0:00,182.5,59342.25901,0,0.424850616,"<[1.2995964E12, 1.4452668E12]>",14
290,290,ナ?カ,47759.0,396.0,132.0,2011/3/11 0:00,2015/10/20 0:00,165.0,50131.75242,0,0.437824902,"<[1.2997692E12, 1.4452668E12]>",14
2702,2702,レア,54602.0,406.0,132.0,2011/2/14 0:00,2015/10/20 0:00,121.0,56985.01059,0,0.643441542,"<[1.2976092E12, 1.4452668E12]>",14
2034,2034,太陽系,58950.89474,572.3684211,244.4736842,2011/3/23 0:00,2015/10/20 0:00,195.1052632,63184.88711,0,0.567148952,"<[1.300806E12, 1.4452668E12]>",14
5328,5328,忙しぺ?向けシリーズ,1158.5,26.0,11.5,2009/10/16 0:00,2015/10/20 0:00,180.5,1356.434783,1,0.0,"<[1.2556188E12, 1.4452668E12]>",16
1897,1897,め?くり料理メイキング,637.0,43.0,7.0,2011/9/3 0:00,2015/10/20 0:00,280.2222222,782.3085881,1,0.0,"<[1.3149756E12, 1.4452668E12]>",16
3576,3576,本気で歌わなあ?っくりシリーズ,4309.333333,170.3333333,32.83333333,2010/4/5 0:00,2015/10/20 0:00,193.0,4965.737094,0,0.546887405,"<[1.2703932E12, 1.4452668E12]>",19
1945,1945,歌ってみ?,4541.529412,224.0,63.76470588,2010/6/9 0:00,2015/10/20 0:00,146.1764706,5711.610076,0,0.248179553,"<[1.2760092E12, 1.4452668E12]>",19
3425,3425,ぼっちアリスの中二病????????,61078.0,1019.0,303.0,2012/10/18 0:00,2015/10/20 0:00,1084.0,66625.3596,0,0.627690517,"<[1.350486E12, 1.4452668E12]>",18
1312,1312,もっと評価されるべ?,8851.055556,292.8333333,136.9888889,2011/8/28 0:00,2015/10/20 0:00,656.8777778,11189.48265,0,0.511249832,"<[1.3144572E12, 1.4452668E12]>",17
3347,3347,神回,35584.5,1724.916667,194.0,2011/2/9 0:00,2015/10/20 0:00,832.4166667,40140.08156,0,0.511307535,"<[1.2971772E12, 1.4452668E12]>",5
115,115,X.BGM推奨,34510.03093,1907.527813,225.0737793,2011/6/20 0:00,2015/10/20 0:00,669.304253,39694.3641,0,0.631374107,"<[1.3084956E12, 1.4452668E12]>",17
4721,4721,世紀末バカゲー,9101.0,511.0,50.0,2011/5/16 0:00,2015/10/20 0:00,1414.0,10334.97444,0,0.979085478,"<[1.3054716E12, 1.4452668E12]>",5
2180,2180,ジャギ,9101.0,511.0,50.0,2011/5/16 0:00,2015/10/20 0:00,1414.0,10334.97444,0,0.979085478,"<[1.3054716E12, 1.4452668E12]>",5
5731,5731,暗ドーナツ,53081.0,448.0,140.0,2011/2/17 0:00,2015/10/20 0:00,190.0,55625.26034,0,0.484415732,"<[1.2978684E12, 1.4452668E12]>",14
3745,3745,?E??ヤバイ,105256.6667,1421.444444,785.5555556,2011/1/11 0:00,2015/10/20 0:00,313.7777778,118442.6427,1,0.0,"<[1.2946716E12, 1.4452668E12]>",14
2784,2784,土星,60586.16667,519.3333333,165.0,2011/2/12 0:00,2015/10/20 0:00,168.5,63576.0981,0,0.892248498,"<[1.2974364E12, 1.4452668E12]>",14
1252,1252,フェー?,53081.0,448.0,140.0,2011/2/17 0:00,2015/10/20 0:00,190.0,55625.26034,0,0.484415732,"<[1.2978684E12, 1.4452668E12]>",14
4527,4527,実況?レイ,881.8,58.8,2.6,2011/12/20 0:00,2015/10/20 0:00,861.6,975.9343511,1,0.0,"<[1.3243068E12, 1.4452668E12]>",18
182,182,Oblivion,19166.5,549.75,77.75,2011/4/15 0:00,2015/10/20 0:00,1008.0,20867.23148,0,0.84092421,"<[1.3027932E12, 1.4452668E12]>",18
5330,5330,め?くりし?,3780.0,111.0,25.0,2008/11/25 0:00,2015/10/20 0:00,556.0,4262.853677,0,0.259950809,"<[1.2275388E12, 1.4452668E12]>",2
137,137,カオス,40624.0,1275.0,328.875,2011/6/9 0:00,2015/10/20 0:00,580.25,46793.62851,0,0.511257409,"<[1.3075452E12, 1.4452668E12]>",2
